gene_id	circ_id	bs_reads	lfl_reads	lfl_junctions	rfl_reads	rfl_junctions	lfl_junctions_ambi	rfl_junctions_ambi	linfl_reads	linfl_reads_av	circ_fraction_fl	p_AC_fl	ci_lower_AC_fl	ci_upper_AC_fl	lin_reads_gene_av	circ_fraction_all	p_AC_all	ci_lower_AC_all	ci_upper_AC_all
ENSG00000071127	chr4_10097710_10103986_-	5	78	1	200	1	0	0	278	139.0	0.03472	0.04681	0.01276	0.08086	88.833	0.05329	0.07086	0.01997	0.12174
ENSG00000138814	chr4_101032266_101109078_-	2	170	1	NA	0	0	2	170	170.0	0.01163	0.0223	0.00047	0.04412	59.667	0.03243	0.05985	0.00241	0.1173
ENSG00000138814	chr4_101040481_101099722_-	2	NA	0	NA	0	1	2	0	0.0	1.0	0.67119	0.29022	1.05215	59.667	0.03243	0.05985	0.00241	0.1173
ENSG00000138814	chr4_101061086_101093915_-	1	NA	0	NA	0	1	1	0	0.0	1.0	0.60327	0.16749	1.03905	59.667	0.01648	0.04528	-0.00546	0.09602
ENSG00000138814	chr4_101061086_101099722_-	22	NA	0	NA	0	1	2	0	0.0	1.0	0.92567	0.82453	1.02681	59.667	0.26939	0.27975	0.1846	0.37489
ENSG00000138814	chr4_101061086_101196116_-	1	NA	0	188	5	1	0	188	37.6	0.02591	0.06882	-0.00734	0.14498	59.667	0.01648	0.04528	-0.00546	0.09602
ENSG00000138814	chr4_101080531_101099722_-	7	NA	0	NA	0	2	2	0	0.0	1.0	0.82283	0.59555	1.05011	59.667	0.105	0.12652	0.04892	0.20412
ENSG00000109320	chr4_102580534_102582957_+	2	15	1	3	1	0	0	18	9.0	0.18182	0.26418	0.03987	0.48849	8.235	0.19541	0.27853	0.04435	0.51272
ENSG00000164037	chr4_102932123_102949427_-	1	0	0	0	0	0	0	0	0.0	1.0	0.60327	0.16749	1.03905	0.0	1.0	0.60327	0.16749	1.03905
ENSG00000164039	chr4_103082080_103091285_-	1	11	1	0	0	0	0	11	11.0	0.08333	0.18438	-0.00659	0.37534	15.5	0.06061	0.14359	-0.0088	0.29598
ENSG00000168769	chr4_105233896_105237351_+	8	0	0	7	2	0	0	7	3.5	0.69565	0.64666	0.40746	0.88586	5.0	0.61538	0.58907	0.35408	0.82405
ENSG00000138777	chr4_105386566_105438036_-	2	159	1	NA	0	0	1	159	159.0	0.01242	0.02379	0.00052	0.04705	58.714	0.03294	0.06074	0.00247	0.119
ENSG00000138777	chr4_105396248_105453642_-	1	NA	0	66	3	1	0	66	22.0	0.04348	0.10882	-0.00899	0.22663	58.714	0.01675	0.04596	-0.00552	0.09744
ENSG00000138777	chr4_105424195_105438036_-	1	NA	0	NA	0	2	1	0	0.0	1.0	0.60327	0.16749	1.03905	58.714	0.01675	0.04596	-0.00552	0.09744
