gene_id	linear_reads	linear_junctions	ambiguous_reads	ambiguous_junctions	circ_reads	circ_junctions	lin_reads_av	circ_reads_av	circ_fraction	p_AC	ci_lower_AC	ci_upper_AC
ENSG00000245322	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000248820	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000127415	1	1	0	0	0	0	1.0	0.0	0.0	0.39673	-0.03905	0.83251
ENSG00000250413	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000145358	1	1	0	0	0	0	1.0	0.0	0.0	0.39673	-0.03905	0.83251
ENSG00000109667	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000249710	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000164035	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000250223	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000261490	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000071127	1066	12	387	2	5	1	88.833	5.0	0.05329	0.07086	0.01997	0.12174
ENSG00000251219	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000251636	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000127418	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000138814	358	6	3622	14	35	6	59.667	5.833	0.08906	0.11183	0.03765	0.186
ENSG00000254531	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000153064	437	18	0	0	0	0	24.278	0.0	0.0	0.06831	-0.02494	0.16155
ENSG00000250393	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000251296	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000251149	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000251309	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000248777	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000138821	46	4	0	0	0	0	11.5	0.0	0.0	0.1252	-0.04041	0.29081
ENSG00000271544	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000248161	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000251572	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000260651	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000109320	140	17	9	3	2	1	8.235	2.0	0.1954	0.27853	0.04435	0.51271
ENSG00000250040	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000250573	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000109323	43	10	0	0	0	0	4.3	0.0	0.0	0.23592	-0.05572	0.52757
ENSG00000241981	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000250074	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000230069	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000248971	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000224207	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000251288	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000250259	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000109332	814	11	0	0	0	0	74.0	0.0	0.0	0.02468	-0.00979	0.05914
ENSG00000246560	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000250505	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000145354	139	2	0	0	0	0	69.5	0.0	0.0	0.02619	-0.01036	0.06274
ENSG00000164037	0	0	1	1	1	1	0.0	1.0	1.0	0.60327	0.16749	1.03905
ENSG00000250651	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000251278	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000251338	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000249283	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000164038	41	4	0	0	0	0	10.25	0.0	0.0	0.13631	-0.04284	0.31546
ENSG00000164039	62	4	73	6	1	1	15.5	1.0	0.06061	0.14359	-0.0088	0.29598
ENSG00000138778	3	3	0	0	0	0	1.0	0.0	0.0	0.39673	-0.03905	0.83251
ENSG00000248740	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000251577	1	1	0	0	0	0	1.0	0.0	0.0	0.39673	-0.03905	0.83251
ENSG00000250920	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000251571	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000169836	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000249614	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000250613	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000251170	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000178163	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000168772	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000245384	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000250670	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000248242	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000248419	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000109684	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000244470	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000248373	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000276992	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000251473	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000251259	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000168769	50	10	0	0	8	1	5.0	8.0	0.61538	0.58907	0.35408	0.82405
ENSG00000251586	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000138777	411	7	936	12	4	3	58.714	1.333	0.0222	0.05093	-0.00298	0.10485
ENSG00000249264	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000216425	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000250922	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000250522	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000236699	71	12	0	0	0	0	5.917	0.0	0.0	0.19684	-0.05264	0.44631
ENSG00000249885	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000178222	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000248778	0	0	0	0	0	0	0.0	0.0		0.5	0.0	1.0
ENSG00000138785	217	7	0	0	0	0	31.0	0.0	0.0	0.05513	-0.02066	0.13091
